gvkey,datadate,tic,prccd,prchd,prcld,cshtrd,ajexdi,trfd
001690,2020-01-02,AAPL,300.35,300.6,295.19,33832220.0,4.0,1.25937511
001690,2020-01-03,AAPL,297.43,300.58,296.5,36561370.0,4.0,1.25937511
001690,2020-01-06,AAPL,299.8,299.96,292.75,29577800.0,4.0,1.25937511
001690,2020-01-07,AAPL,298.39,300.9,297.48,27201940.0,4.0,1.25937511
001690,2020-01-08,AAPL,303.19,304.4399,297.156,32998280.0,4.0,1.25937511
001690,2020-01-09,AAPL,309.63,310.43,306.2,42476500.0,4.0,1.25937511
001690,2020-01-10,AAPL,310.33,312.67,308.25,35149610.0,4.0,1.25937511
001690,2020-01-13,AAPL,316.96,317.07,311.15,30345760.0,4.0,1.25937511
001690,2020-01-14,AAPL,312.68,317.57,312.17,40428320.0,4.0,1.25937511
001690,2020-01-15,AAPL,311.34,315.5,309.55,30383970.0,4.0,1.25937511
001690,2020-01-16,AAPL,315.24,315.7,312.09,27546230.0,4.0,1.25937511
001690,2020-01-17,AAPL,318.73,318.74,315.0,33836810.0,4.0,1.25937511
001690,2020-01-21,AAPL,316.57,319.02,316.0,27608050.0,4.0,1.25937511
001690,2020-01-22,AAPL,317.7,319.99,317.31,25380770.0,4.0,1.25937511
001690,2020-01-23,AAPL,319.23,319.56,315.65,26047240.0,4.0,1.25937511
001690,2020-01-24,AAPL,318.31,323.33,317.5188,36569020.0,4.0,1.25937511
001690,2020-01-27,AAPL,308.95,311.77,304.88,40335360.0,4.0,1.25937511
001690,2020-01-28,AAPL,317.69,318.4,312.19,39866460.0,4.0,1.25937511
001690,2020-01-29,AAPL,324.34,327.85,321.38,54005270.0,4.0,1.25937511
001690,2020-01-30,AAPL,323.87,324.09,318.75,31591750.0,4.0,1.25937511
001690,2020-01-31,AAPL,309.51,322.68,308.29,49718740.0,4.0,1.25937511
001690,2020-02-03,AAPL,308.66,313.49,302.22,43417400.0,4.0,1.25937511
001690,2020-02-04,AAPL,318.85,319.64,313.6345,34039540.0,4.0,1.25937511
001690,2020-02-05,AAPL,321.45,324.76,318.95,29644730.0,4.0,1.25937511
001690,2020-02-06,AAPL,325.21,325.22,320.2648,26176460.0,4.0,1.25937511
001690,2020-02-07,AAPL,320.03,323.4,318.0,29332340.0,4.0,1.2624052
001690,2020-02-10,AAPL,321.55,321.55,313.85,27252750.0,4.0,1.2624052
001690,2020-02-11,AAPL,319.61,323.9,318.71,23526960.0,4.0,1.2624052
001690,2020-02-12,AAPL,327.2,327.22,321.47,28213000.0,4.0,1.2624052
