date,permno,permco,cusip,ticker,comnam,prc,openprc,bidlo,askhi,vol,ret,retx,shrout,cfacpr,cfacshr
2020-01-02,14593,7,03783310,AAPL,APPLE INC,300.35001,296.23999,295.19,300.60001,33884314.0,0.022816,0.022816,4384027.0,4.0,4.0
2020-01-03,14593,7,03783310,AAPL,APPLE INC,297.42999,297.14999,296.5,300.57999,36604600.0,-0.009722,-0.009722,4384027.0,4.0,4.0
2020-01-06,14593,7,03783310,AAPL,APPLE INC,299.79999,293.79001,292.75,299.95999,29597401.0,0.007968,0.007968,4384027.0,4.0,4.0
2020-01-07,14593,7,03783310,AAPL,APPLE INC,298.39001,299.84,297.48001,300.89999,27864170.0,-0.004703,-0.004703,4384027.0,4.0,4.0
2020-01-08,14593,7,03783310,AAPL,APPLE INC,303.19,297.16,297.15601,304.43991,33060420.0,0.016086,0.016086,4384027.0,4.0,4.0
2020-01-09,14593,7,03783310,AAPL,APPLE INC,309.63,307.23499,306.20001,310.42999,42591634.0,0.021241,0.021241,4384027.0,4.0,4.0
2020-01-10,14593,7,03783310,AAPL,APPLE INC,310.32999,310.60001,308.25,312.67001,35186623.0,0.002261,0.002261,4384027.0,4.0,4.0
2020-01-13,14593,7,03783310,AAPL,APPLE INC,316.95999,311.64001,311.14999,317.07001,30502330.0,0.021364,0.021364,4384027.0,4.0,4.0
2020-01-14,14593,7,03783310,AAPL,APPLE INC,312.67999,316.70001,312.17001,317.57001,40621057.0,-0.013503,-0.013503,4384027.0,4.0,4.0
2020-01-15,14593,7,03783310,AAPL,APPLE INC,311.34,311.85001,309.54999,315.5,30452727.0,-0.004286,-0.004286,4384027.0,4.0,4.0
2020-01-16,14593,7,03783310,AAPL,APPLE INC,315.23999,313.59,312.09,315.70001,27627154.0,0.012527,0.012527,4384027.0,4.0,4.0
2020-01-17,14593,7,03783310,AAPL,APPLE INC,318.73001,316.26999,315.0,318.73999,34420045.0,0.011071,0.011071,4375480.0,4.0,4.0
2020-01-21,14593,7,03783310,AAPL,APPLE INC,316.57001,317.19,316.0,319.01999,27674778.0,-0.006777,-0.006777,4375480.0,4.0,4.0
2020-01-22,14593,7,03783310,AAPL,APPLE INC,317.70001,318.57999,317.31,319.98999,25432169.0,0.00357,0.00357,4375480.0,4.0,4.0
