date,AAPL_value,AAPL_shares,MSFT_value,MSFT_shares,JPM_value,JPM_shares,XOM_value,XOM_shares,JNJ_value,JNJ_shares,total_value,returns,cumulative_returns
2015-01-02,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,,
2015-01-05,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-06,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-07,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-08,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-09,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-12,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-13,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-14,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-15,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-16,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-20,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-21,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-22,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-23,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-26,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-27,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-28,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-29,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-01-30,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-02,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-03,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-04,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
2015-02-05,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,20000.0,0.0,100000.0,0.0,1.0
