gvkey,datadate,tic,conm,prccd,cshtrd
266262,2025-12-09,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,1400.00000000
216278,2025-12-09,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,0E-8
156867,2025-12-09,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,1001.00000000
266262,2025-12-08,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,585.00000000
216278,2025-12-08,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,1000.00000000
153192,2025-12-08,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,160.00000000
216278,2025-12-05,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,0E-8
162722,2025-12-05,LEHNQ,LEHMAN BROS HLDGS CAP TR VI,0.00100000,166.00000000
156867,2025-12-05,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,2048.00000000
153192,2025-12-05,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,800.00000000
216278,2025-12-04,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,0E-8
156867,2025-12-04,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,270.00000000
216278,2025-12-03,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,0E-8
153192,2025-12-03,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,134.00000000
266262,2025-12-02,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,171.00000000
216278,2025-12-02,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,500.00000000
156867,2025-12-02,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,11800.00000000
266262,2025-12-01,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,1100.00000000
216278,2025-12-01,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
153192,2025-12-01,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,1500.00000000
216278,2025-11-28,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
266262,2025-11-26,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,262.00000000
216278,2025-11-26,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
156867,2025-11-26,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,2801.00000000
266262,2025-11-25,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,609.00000000
216278,2025-11-25,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
216278,2025-11-24,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
156867,2025-11-24,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,600.00000000
266262,2025-11-21,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,400.00000000
216278,2025-11-21,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
162722,2025-11-21,LEHNQ,LEHMAN BROS HLDGS CAP TR VI,0.00100000,1000.00000000
266262,2025-11-20,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,400.00000000
216278,2025-11-20,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
153192,2025-11-20,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,300.00000000
266262,2025-11-19,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,330.00000000
216278,2025-11-19,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
156867,2025-11-19,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,250.00000000
216278,2025-11-18,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
162722,2025-11-18,LEHNQ,LEHMAN BROS HLDGS CAP TR VI,0.00100000,200.00000000
156867,2025-11-18,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,2380.00000000
216278,2025-11-17,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
156867,2025-11-17,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,466.00000000
266262,2025-11-14,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,610.00000000
216278,2025-11-14,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
162722,2025-11-14,LEHNQ,LEHMAN BROS HLDGS CAP TR VI,0.00100000,180.00000000
266262,2025-11-13,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,425.00000000
216278,2025-11-13,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
216278,2025-11-12,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,0E-8
156867,2025-11-12,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,1400.00000000
216278,2025-11-11,JBK,LEHMAN ABS SER 2004-6 CTFS,25.60000000,102.00000000
216278,2025-11-10,JBK,LEHMAN ABS SER 2004-6 CTFS,25.77000000,0E-8
266262,2025-11-07,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,861.00000000
216278,2025-11-07,JBK,LEHMAN ABS SER 2004-6 CTFS,25.77000000,0E-8
156867,2025-11-07,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,1000.00000000
153192,2025-11-07,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,254.00000000
266262,2025-11-06,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,400.00000000
216278,2025-11-06,JBK,LEHMAN ABS SER 2004-6 CTFS,25.77000000,100.00000000
156867,2025-11-06,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,333.00000000
266262,2025-11-05,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00665000,1280.00000000
216278,2025-11-05,JBK,LEHMAN ABS SER 2004-6 CTFS,25.85000000,107.00000000
156867,2025-11-05,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,3200.00000000
153192,2025-11-05,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,465.00000000
266262,2025-11-04,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,857.00000000
216278,2025-11-04,JBK,LEHMAN ABS SER 2004-6 CTFS,25.90000000,0E-8
153192,2025-11-04,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,610.00000000
266262,2025-11-03,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00665000,36065.00000000
216278,2025-11-03,JBK,LEHMAN ABS SER 2004-6 CTFS,25.90000000,100.00000000
266262,2025-10-31,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,200.00000000
216278,2025-10-31,JBK,LEHMAN ABS SER 2004-6 CTFS,26.21000000,0E-8
153192,2025-10-31,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,165.00000000
266262,2025-10-30,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,2150.00000000
216278,2025-10-30,JBK,LEHMAN ABS SER 2004-6 CTFS,26.21000000,1646.00000000
156867,2025-10-30,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,100.00000000
153192,2025-10-30,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,400.00000000
266262,2025-10-29,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,500.00000000
216278,2025-10-29,JBK,LEHMAN ABS SER 2004-6 CTFS,26.03750000,0E-8
156867,2025-10-29,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,100.00000000
216278,2025-10-28,JBK,LEHMAN ABS SER 2004-6 CTFS,26.03750000,2109.00000000
156867,2025-10-28,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,1200.00000000
216278,2025-10-27,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,105.00000000
156867,2025-10-27,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,565.00000000
216278,2025-10-24,JBK,LEHMAN ABS SER 2004-6 CTFS,25.82000000,0E-8
153192,2025-10-24,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,300.00000000
216278,2025-10-23,JBK,LEHMAN ABS SER 2004-6 CTFS,25.82000000,0E-8
266262,2025-10-22,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,1960.00000000
216278,2025-10-22,JBK,LEHMAN ABS SER 2004-6 CTFS,25.82000000,100.00000000
162722,2025-10-22,LEHNQ,LEHMAN BROS HLDGS CAP TR VI,0.00100000,800.00000000
216278,2025-10-21,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,0E-8
162722,2025-10-21,LEHNQ,LEHMAN BROS HLDGS CAP TR VI,0.00100000,200.00000000
156867,2025-10-21,LEHLQ,LEHMAN BROS HLDGS CAP TR IV,0.00100000,500.00000000
153192,2025-10-21,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,2241.00000000
266262,2025-10-20,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,457.00000000
216278,2025-10-20,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,0E-8
266262,2025-10-17,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,374.00000000
216278,2025-10-17,JBK,LEHMAN ABS SER 2004-6 CTFS,25.50000000,106.00000000
153192,2025-10-17,LEHKQ,LEHMAN BROS HLDGS CAP TR III,0.00100000,165.00000000
266262,2025-10-16,LHHMQ,LEHMAN BROS HLDGS CAP TR,0.00100000,200.00000000
