gvkey,datadate,tic,conm,prccd,cshtrd
170617,2025-12-15,META.,META PLATFORMS INC,,
170617,2025-12-15,META,META PLATFORMS INC,,
170617,2025-12-10,META.,META PLATFORMS INC,35.14,309542.0
170617,2025-12-10,META,META PLATFORMS INC,650.13,16836790.0
051995,2025-12-10,FB,PROSHARES S&P 500 DYN BF ETF,42.1855,3565.0
051995,2025-12-09,FB,PROSHARES S&P 500 DYN BF ETF,42.1098,390.0
170617,2025-12-09,META.,META PLATFORMS INC,35.52,293370.0
170617,2025-12-09,META,META PLATFORMS INC,656.96,12952910.0
170617,2025-12-08,META,META PLATFORMS INC,666.8,13056970.0
170617,2025-12-08,META.,META PLATFORMS INC,36.02,256425.0
051995,2025-12-08,FB,PROSHARES S&P 500 DYN BF ETF,42.17,654.0
051995,2025-12-05,FB,PROSHARES S&P 500 DYN BF ETF,42.1634,855.0
170617,2025-12-05,META.,META PLATFORMS INC,36.4,711047.0
170617,2025-12-05,META,META PLATFORMS INC,673.42,21153510.0
170617,2025-12-04,META.,META PLATFORMS INC,35.77,759240.0
170617,2025-12-04,META,META PLATFORMS INC,661.53,29788260.0
051995,2025-12-04,FB,PROSHARES S&P 500 DYN BF ETF,42.1847,52.0
051995,2025-12-03,FB,PROSHARES S&P 500 DYN BF ETF,42.2002,322.0
170617,2025-12-03,META.,META PLATFORMS INC,34.65,340794.0
170617,2025-12-03,META,META PLATFORMS INC,639.6,11038890.0
170617,2025-12-02,META.,META PLATFORMS INC,35.01,235346.0
170617,2025-12-02,META,META PLATFORMS INC,647.1,11559940.0
051995,2025-12-02,FB,PROSHARES S&P 500 DYN BF ETF,42.1899,329.0
051995,2025-12-01,FB,PROSHARES S&P 500 DYN BF ETF,42.2448,310.0
170617,2025-12-01,META,META PLATFORMS INC,640.87,13000130.0
170617,2025-12-01,META.,META PLATFORMS INC,34.64,302785.0
170617,2025-11-28,META,META PLATFORMS INC,647.95,11033200.0
170617,2025-11-28,META.,META PLATFORMS INC,34.97,292688.0
051995,2025-11-28,FB,PROSHARES S&P 500 DYN BF ETF,42.32,1216.0
