date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-12-31,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.38,127419.0,-0.007591
2024-12-31,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,585.51001,5976661.0,-0.009691
2024-12-30,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,591.23999,6963898.0,-0.014288
2024-12-30,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.49,223330.0,-0.010246
2024-12-27,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,599.81,8035611.0,-0.005867
2024-12-27,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.64,223664.0,-0.013477
2024-12-26,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.84,246623.0,-0.000673
2024-12-26,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,603.34998,5975525.0,-0.00724
2024-12-24,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.85,88892.0,0.01158
2024-12-24,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,607.75,4690037.0,0.01317
2024-12-23,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.68,217129.0,0.004791
2024-12-23,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,599.84998,10110891.0,0.024947
2024-12-20,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.61,448744.0,0.006892
2024-12-20,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,585.25,48662317.0,-0.017328
2024-12-19,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,595.57001,14788287.0,-0.002713
2024-12-19,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.51,229652.0,-0.00888
2024-12-18,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,597.19,16920910.0,-0.03592
2024-12-18,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,14.64,367330.0,-0.038739
2024-12-17,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,619.44,13195082.0,-0.007689
2024-12-17,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,15.23,138778.0,-0.004575
2024-12-16,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,624.23999,10800210.0,0.007077
2024-12-16,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,15.3,216413.0,0.009901
2024-12-13,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,620.34998,8394152.0,-0.016551
2024-12-13,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,15.15,144893.0,-0.005253
2024-12-12,21413,METV,LISTED FUNDS TRUST,2024-06-26,2024-12-31,15.23,137276.0,-0.005225
2024-12-12,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,630.78998,7415159.0,-0.002987
2024-12-11,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,632.67999,10930920.0,0.021572
